CONCEPT_ID,PARENT_CONCEPT_ID,LEVEL,TRAIT_DESCRIPTION,"SYS_CONNECT_BY_PATH(C1.TRAIT_DESCRIPTION,':')",IsLeaf
1110,1001,2,"Stereotyped, Restricted, and Repetitive Behavior",":Personal Traits:Stereotyped, Restricted, and Repetitive Behavior",0
1055,1001,2,Executive Function,:Personal Traits:Executive Function,0
1126,1001,2,Emotional Traits,:Personal Traits:Emotional Traits,0
1106,1001,2,Motor Skills,:Personal Traits:Motor Skills,0
1082,1001,2,Language Ability,:Personal Traits:Language Ability,0
1082,1001,1,Language Ability,:Language Ability,0
1110,1001,1,"Stereotyped, Restricted, and Repetitive Behavior",":Stereotyped, Restricted, and Repetitive Behavior",0
1055,1001,1,Executive Function,:Executive Function,0
1002,1001,1,Cognitive Ability,:Cognitive Ability,0
1126,1001,1,Emotional Traits,:Emotional Traits,0
1106,1001,1,Motor Skills,:Motor Skills,0
1002,1001,2,Cognitive Ability,:Personal Traits:Cognitive Ability,0
1040,1002,3,IQ,:Personal Traits:Cognitive Ability:IQ,0
1041,1002,2,Analytic Capability,:Cognitive Ability:Analytic Capability,0
1049,1002,3,Isolated Cognitive Skills,:Personal Traits:Cognitive Ability:Isolated Cognitive Skills,0
1046,1002,3,Abstract Thinking,:Personal Traits:Cognitive Ability:Abstract Thinking,0
1041,1002,3,Analytic Capability,:Personal Traits:Cognitive Ability:Analytic Capability,0
1049,1002,1,Isolated Cognitive Skills,:Isolated Cognitive Skills,0
1046,1002,1,Abstract Thinking,:Abstract Thinking,0
1041,1002,1,Analytic Capability,:Analytic Capability,0
1040,1002,1,IQ,:IQ,0
1050,1002,1,Visual Perception,:Visual Perception,0
1040,1002,2,IQ,:Cognitive Ability:IQ,0
1050,1002,2,Visual Perception,:Cognitive Ability:Visual Perception,0
1049,1002,2,Isolated Cognitive Skills,:Cognitive Ability:Isolated Cognitive Skills,0
1046,1002,2,Abstract Thinking,:Cognitive Ability:Abstract Thinking,0
1050,1002,3,Visual Perception,:Personal Traits:Cognitive Ability:Visual Perception,0
1006,1004,5,Low,:Personal Traits:Cognitive Ability:IQ:Verbal IQ:Low,1
1007,1004,4,Average,:Cognitive Ability:IQ:Verbal IQ:Average,1
1007,1004,5,Average,:Personal Traits:Cognitive Ability:IQ:Verbal IQ:Average,1
1006,1004,2,Low,:Verbal IQ:Low,1
1008,1004,2,High,:Verbal IQ:High,1
1007,1004,2,Average,:Verbal IQ:Average,1
1006,1004,1,Low,:Low,1
1008,1004,1,High,:High,1
1007,1004,1,Average,:Average,1
1006,1004,3,Low,:IQ:Verbal IQ:Low,1
1008,1004,3,High,:IQ:Verbal IQ:High,1
1007,1004,3,Average,:IQ:Verbal IQ:Average,1
1006,1004,4,Low,:Cognitive Ability:IQ:Verbal IQ:Low,1
1008,1004,4,High,:Cognitive Ability:IQ:Verbal IQ:High,1
1008,1004,5,High,:Personal Traits:Cognitive Ability:IQ:Verbal IQ:High,1
1009,1005,5,Low,:Personal Traits:Cognitive Ability:IQ:Performance IQ:Low,1
1010,1005,4,Average,:Cognitive Ability:IQ:Performance IQ:Average,1
1010,1005,5,Average,:Personal Traits:Cognitive Ability:IQ:Performance IQ:Average,1
1009,1005,2,Low,:Performance IQ:Low,1
1011,1005,2,High,:Performance IQ:High,1
1010,1005,2,Average,:Performance IQ:Average,1
1009,1005,1,Low,:Low,1
1011,1005,1,High,:High,1
1010,1005,1,Average,:Average,1
1009,1005,3,Low,:IQ:Performance IQ:Low,1
1011,1005,3,High,:IQ:Performance IQ:High,1
1010,1005,3,Average,:IQ:Performance IQ:Average,1
1009,1005,4,Low,:Cognitive Ability:IQ:Performance IQ:Low,1
1011,1005,4,High,:Cognitive Ability:IQ:Performance IQ:High,1
1011,1005,5,High,:Personal Traits:Cognitive Ability:IQ:Performance IQ:High,1
1023,1022,4,Overall Level of Language,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language,0
1031,1022,4,Expressive Language,:Personal Traits:Language Ability:Minimally Verbal:Expressive Language,0
1023,1022,2,Overall Level of Language,:Minimally Verbal:Overall Level of Language,0
1031,1022,3,Expressive Language,:Language Ability:Minimally Verbal:Expressive Language,0
1023,1022,1,Overall Level of Language,:Overall Level of Language,0
1031,1022,1,Expressive Language,:Expressive Language,0
1023,1022,3,Overall Level of Language,:Language Ability:Minimally Verbal:Overall Level of Language,0
1031,1022,2,Expressive Language,:Minimally Verbal:Expressive Language,0
1024,1023,5,ADI,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADI,0
1025,1023,5,ADOS,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADOS,0
1024,1023,3,ADI,:Minimally Verbal:Overall Level of Language:ADI,0
1025,1023,3,ADOS,:Minimally Verbal:Overall Level of Language:ADOS,0
1025,1023,4,ADOS,:Language Ability:Minimally Verbal:Overall Level of Language:ADOS,0
1025,1023,2,ADOS,:Overall Level of Language:ADOS,0
1024,1023,1,ADI,:ADI,0
1025,1023,1,ADOS,:ADOS,0
1024,1023,4,ADI,:Language Ability:Minimally Verbal:Overall Level of Language:ADI,0
1024,1023,2,ADI,:Overall Level of Language:ADI,0
1026,1024,6,Less than 5 Words,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADI:Less than 5 Words,1
1027,1024,6,5 or More Words,:Personal Traits:Language Ability:Minimally Verbal:Overall Level of Language:ADI:5 or More Words,1
1026,1024,4,Less than 5 Words,:Minimally Verbal:Overall Level of Language:ADI:Less than 5 Words,1
1027,1024,4,5 or More Words,:Minimally Verbal:Overall Level of Language:ADI:5 or More Words,1
1026,1024,3,Less than 5 Words,:Overall Level of Language:ADI:Less than 5 Words,1
1027,1024,5,5 or More Words,:Language Ability:Minimally Verbal:Overall Level of Language:ADI:5 or More Words,1
1026,1024,2,Less than 5 Words,:ADI:Less than 5 Words,1
