CONCEPT_ID,OPERATOR,ELEMENT_NAME,FILTER,TITLE,ID,short_name
1006,<,iqscores_verbiq,85,WASI-2,202,wasi201
1006,<,iqscores_verbiq,85,Wechsler Abbreviated Scale of Intelligence (WASI),202,wasi_199903
1006,<,rv_iq,85,Ravens Coloured Progressive Matrices (CPM),209,ravenspcm_200402
1006,<,ssc_diagnosis_verbal_iq,85,SSC-Subject,213,ssc_subject01
1006,<,ssviq,85,"Stanford-Binet Intelligence Scales, Fifth Edition (SB5)",215,sb_503
1006,<,verbal_cscore,85,Wechsler Intelligence Scale for Children - IV [part 2],216,wisc_iv_part202
1006,<,verbal_iq,85,Wechsler Intelligence Scale for Children III,217,wisc_iii01
1007,between,iqscores_verbiq,85::115,WASI-2,225,wasi201
1007,between,iqscores_verbiq,85::115,Wechsler Abbreviated Scale of Intelligence (WASI),225,wasi_199903
1007,between,rv_iq,85::115,Ravens Coloured Progressive Matrices (CPM),232,ravenspcm_200402
1007,between,ssc_diagnosis_verbal_iq,85::115,SSC-Subject,236,ssc_subject01
1007,between,ssviq,85::115,"Stanford-Binet Intelligence Scales, Fifth Edition (SB5)",238,sb_503
1007,between,verbal_cscore,85::115,Wechsler Intelligence Scale for Children - IV [part 2],239,wisc_iv_part202
1007,between,verbal_iq,85::115,Wechsler Intelligence Scale for Children III,240,wisc_iii01
1008,between,iqscores_verbiq,116::240,WASI-2,248,wasi201
1008,between,iqscores_verbiq,116::240,Wechsler Abbreviated Scale of Intelligence (WASI),248,wasi_199903
1008,between,rv_iq,116::240,Ravens Coloured Progressive Matrices (CPM),255,ravenspcm_200402
1008,between,ssc_diagnosis_verbal_iq,116::240,SSC-Subject,259,ssc_subject01
1008,between,ssviq,116::240,"Stanford-Binet Intelligence Scales, Fifth Edition (SB5)",261,sb_503
1008,between,verbal_cscore,116::240,Wechsler Intelligence Scale for Children - IV [part 2],262,wisc_iv_part202
1008,between,verbal_iq,116::240,Wechsler Intelligence Scale for Children III,263,wisc_iii01
1009,<,iqscores_perfiq,85,WASI-2,201,wasi201
1009,<,iqscores_perfiq,85,Wechsler Abbreviated Scale of Intelligence (WASI),201,wasi_199903
1009,<,iqscores_perfiq,85,Wechsler Intelligence Scale for Children III,201,wisc_iii01
1009,<,ssc_diag_nv_iq,85,SSC-Subject,212,ssc_subject01
1009,<,ssnviq,85,"Stanford-Binet Intelligence Scales, Fifth Edition (SB5)",214,sb_503
1010,between,iqscores_perfiq,85::115,WASI-2,224,wasi201
1010,between,iqscores_perfiq,85::115,Wechsler Abbreviated Scale of Intelligence (WASI),224,wasi_199903
1010,between,iqscores_perfiq,85::115,Wechsler Intelligence Scale for Children III,224,wisc_iii01
1010,between,ssc_diag_nv_iq,85::115,SSC-Subject,235,ssc_subject01
1010,between,ssnviq,85::115,"Stanford-Binet Intelligence Scales, Fifth Edition (SB5)",237,sb_503
1011,between,iqscores_perfiq,116::240,WASI-2,247,wasi201
1011,between,iqscores_perfiq,116::240,Wechsler Abbreviated Scale of Intelligence (WASI),247,wasi_199903
1011,between,iqscores_perfiq,116::240,Wechsler Intelligence Scale for Children III,247,wisc_iii01
1011,between,ssc_diag_nv_iq,116::240,SSC-Subject,258,ssc_subject01
1011,between,ssnviq,116::240,"Stanford-Binet Intelligence Scales, Fifth Edition (SB5)",260,sb_503
